Packet Number,Address,Value,Float Value,Name
1,0,5,5,FirmVersionMajorNum
2,1,0,0,FirmVersionMinorNum
3,2,50610,50610,DeviceID
4,3,2,2,ButtonMode
5,4,19872,621,BattSensitivity
6,5,0,0,BattBias
7,6,17920,280,ThermSensitivity
8,7,23000,23000,ThermBias
9,8,14720,14.375,GyroSensitivityX
10,9,14720,14.375,GyroSensitivityY
11,10,14720,14.375,GyroSensitivityZ
12,11,59542,-23.41406,GyroBiasX
13,12,16218,63.35156,GyroBiasY
14,13,57468,-31.51563,GyroBiasZ
15,14,64933,-0.5888672,GyroBiasTempSensX
16,15,64454,-1.056641,GyroBiasTempSensY
17,16,64,0.0625,GyroBiasTempSensZ
18,17,6901,26.95703,GyroSample1Temp
19,18,59246,-24.57031,GyroSample1BiasX
20,19,15689,61.28516,GyroSample1BiasY
21,20,57499,-31.39453,GyroSample1BiasZ
22,21,9395,36.69922,GyroSample2Temp
23,22,57776,-30.3125,GyroSample2BiasX
24,23,13052,50.98438,GyroSample2BiasY
25,24,57655,-30.78516,GyroSample2BiasZ
26,25,2,2,AccelFullScale
27,26,4102,256.375,AccelSensitivityX
28,27,4102,256.375,AccelSensitivityY
29,28,4102,256.375,AccelSensitivityZ
30,29,0,0,AccelBiasX
31,30,0,0,AccelBiasY
32,31,0,0,AccelBiasZ
33,32,3,3,MagFullScale
34,33,6528,408,MagSensitivityX
35,34,6552,409.5,MagSensitivityY
36,35,6215,388.4375,MagSensitivityZ
37,36,622,2.429688,MagBiasX
38,37,65045,-1.917969,MagBiasY
39,38,1047,4.089844,MagBiasZ
40,39,293,0.1430664,MagHardIronBiasX
41,40,467,0.2280273,MagHardIronBiasY
42,41,65423,-0.05517578,MagHardIronBiasZ
43,42,2,2,AlgorithmMode
44,43,512,2,AlgorithmKp
45,44,0,0,AlgorithmKi
46,45,12800,200,AlgorithmInitKp
47,46,1280,5,AlgorithmInitPeriod
48,47,32767,0.9999695,TareQuat0
49,48,0,0,TareQuat1
50,49,0,0,TareQuat2
51,50,0,0,TareQuat3
52,51,1,1,SensorDataMode
53,52,1,1,DateTimeOutputRate
54,53,3,3,BattThermOutputRate
55,54,9,9,InertialMagOutputRate
56,55,9,9,QuatOutputRate
57,56,76,76,SDcardNewFileName
58,57,14336,3.5,BattShutdownVoltage
59,58,0,0,SleepTimer
60,59,0,0,MotionTrigWakeUp
61,60,1,1,BluetoothPower
62,61,0,0,AuxiliaryPortMode
63,62,4,4,DigitalIOdirection
64,63,0,0,DigitalIOoutputRate
65,64,409,0.199707,AlgorithmMinValidMag
66,65,1433,0.699707,AlgorithmMaxValidMag
