Packet Number,Address,Value,Float Value,Name
1,0,6,6,FirmVersionMajorNum
2,1,0,0,FirmVersionMinorNum
3,2,46176,46176,DeviceID
4,3,2,2,ButtonMode
5,4,19872,621,BattSensitivity
6,5,0,0,BattBias
7,6,17920,280,ThermSensitivity
8,7,42536,-23000,ThermBias
9,8,3,3,GyroFullScale
10,9,2083,16.27344,GyroSensitivityX
11,10,2090,16.32813,GyroSensitivityY
12,11,2093,16.35156,GyroSensitivityZ
13,12,3233,3233,GyroSampledPlus200dpsX
14,13,3286,3286,GyroSampledPlus200dpsY
15,14,3275,3275,GyroSampledPlus200dpsZ
16,15,62259,-3277,GyroSampledMinus200dpsX
17,16,62288,-3248,GyroSampledMinus200dpsY
18,17,62270,-3266,GyroSampledMinus200dpsZ
19,18,64557,-15.29688,GyroBiasX
20,19,1555,24.29688,GyroBiasY
21,20,30,0.46875,GyroBiasZ
22,21,60115,-0.6617432,GyroBiasTempSensX
23,22,60595,-0.6031494,GyroBiasTempSensY
24,23,4101,0.5006104,GyroBiasTempSensZ
25,24,6588,25.73438,GyroSample1Temp
26,25,64525,-15.79688,GyroSample1BiasX
27,26,1527,23.85938,GyroSample1BiasY
28,27,54,0.84375,GyroSample1BiasZ
29,28,7954,31.07031,GyroSample2Temp
30,29,64299,-19.32813,GyroSample2BiasX
31,30,1321,20.64063,GyroSample2BiasY
32,31,225,3.515625,GyroSample2BiasZ
33,32,2,2,AccelFullScale
34,33,4030,251.875,AccelSensitivityX
35,34,3998,249.875,AccelSensitivityY
36,35,4070,254.375,AccelSensitivityZ
37,36,63848,-6.59375,AccelBiasX
38,37,344,1.34375,AccelBiasY
39,38,64216,-5.15625,AccelBiasZ
40,39,3925,245.3125,AccelSampledPlus1gX
41,40,4020,251.25,AccelSampledPlus1gY
42,41,3988,249.25,AccelSampledPlus1gZ
43,42,61400,-258.5,AccelSampledMinus1gX
44,43,61559,-248.5625,AccelSampledMinus1gY
45,44,61383,-259.5625,AccelSampledMinus1gZ
46,45,3,3,MagFullScale
47,46,6180,386.25,MagSensitivityX
48,47,6441,402.5625,MagSensitivityY
49,48,6193,387.0625,MagSensitivityZ
50,49,1446,5.648438,MagBiasX
51,50,64410,-4.398438,MagBiasY
52,51,1926,7.523438,MagBiasZ
53,52,65528,-0.00390625,MagHardIronBiasX
54,53,768,0.375,MagHardIronBiasY
55,54,65454,-0.04003906,MagHardIronBiasZ
56,55,2,2,AlgorithmMode
57,56,128,0.5,AlgorithmKp
58,57,0,0,AlgorithmKi
59,58,640,10,AlgorithmInitKp
60,59,768,3,AlgorithmInitPeriod
61,60,408,0.1992188,AlgorithmMinValidMag
62,61,1432,0.6992188,AlgorithmMaxValidMag
63,62,32767,0.9999695,AlgorithmTareQuat0
64,63,0,0,AlgorithmTareQuat1
65,64,0,0,AlgorithmTareQuat2
66,65,0,0,AlgorithmTareQuat3
67,66,1,1,SensorDataMode
68,67,1,1,DateTimeOutputRate
69,68,3,3,BattThermOutputRate
70,69,9,9,InertialMagOutputRate
71,70,8,8,QuatOutputRate
72,71,14,14,SDcardNewFileName
73,72,14336,3.5,BattShutdownVoltage
74,73,0,0,SleepTimer
75,74,0,0,MotionTrigWakeUp
76,75,1,1,BluetoothPower
77,76,0,0,AuxiliaryPortMode
78,77,4,4,DigitalIOdirection
79,78,0,0,DigitalIOoutputRate
80,79,1,1,AnalogueInputDataMode
81,80,9,9,AnalogueInputDataRate
82,81,19859,1241.188,AnalogueInputSensitivity
83,82,0,0,AnalogueInputBias
84,83,20,20,PWMoutputFrequency
85,84,1,1,ADXL345busDataMode
86,85,9,9,ADXL345busDataRate
87,86,4096,256,ADXL345AsensitivityX
88,87,4096,256,ADXL345AsensitivityY
89,88,4096,256,ADXL345AsensitivityZ
90,89,0,0,ADXL345AbiasX
91,90,0,0,ADXL345AbiasY
92,91,0,0,ADXL345AbiasZ
93,92,4096,256,ADXL345BsensitivityX
94,93,4096,256,ADXL345BsensitivityY
95,94,4096,256,ADXL345BsensitivityZ
96,95,0,0,ADXL345BbiasX
97,96,0,0,ADXL345BbiasY
98,97,0,0,ADXL345BbiasZ
99,98,4096,256,ADXL345CsensitivityX
100,99,4096,256,ADXL345CsensitivityY
101,100,4096,256,ADXL345CsensitivityZ
102,101,0,0,ADXL345CbiasX
103,102,0,0,ADXL345CbiasY
104,103,0,0,ADXL345CbiasZ
105,104,4096,256,ADXL345DsensitivityX
106,105,4096,256,ADXL345DsensitivityY
107,106,4096,256,ADXL345DsensitivityZ
108,107,0,0,ADXL345DbiasX
109,108,0,0,ADXL345DbiasY
110,109,0,0,ADXL345DbiasZ
