Packet Number,Address,Value,Float Value,Name
1,0,5,5,FirmVersionMajorNum
2,1,0,0,FirmVersionMinorNum
3,2,50591,50591,DeviceID
4,3,2,2,ButtonMode
5,4,19872,621,BattSensitivity
6,5,0,0,BattBias
7,6,17920,280,ThermSensitivity
8,7,23000,23000,ThermBias
9,8,14720,14.375,GyroSensitivityX
10,9,14720,14.375,GyroSensitivityY
11,10,14720,14.375,GyroSensitivityZ
12,11,57029,-33.23047,GyroBiasX
13,12,1981,7.738281,GyroBiasY
14,13,9328,36.4375,GyroBiasZ
15,14,527,0.5146484,GyroBiasTempSensX
16,15,65256,-0.2734375,GyroBiasTempSensY
17,16,65243,-0.2861328,GyroBiasTempSensZ
18,17,6115,23.88672,GyroSample1Temp
19,18,56882,-33.80469,GyroSample1BiasX
20,19,2060,8.046875,GyroSample1BiasY
21,20,9410,36.75781,GyroSample1BiasZ
22,21,9558,37.33594,GyroSample2Temp
23,22,58656,-26.875,GyroSample2BiasX
24,23,1117,4.363281,GyroSample2BiasY
25,24,8423,32.90234,GyroSample2BiasZ
26,25,2,2,AccelFullScale
27,26,4102,256.375,AccelSensitivityX
28,27,4102,256.375,AccelSensitivityY
29,28,4102,256.375,AccelSensitivityZ
30,29,0,0,AccelBiasX
31,30,0,0,AccelBiasY
32,31,0,0,AccelBiasZ
33,32,3,3,MagFullScale
34,33,6875,429.6875,MagSensitivityX
35,34,6949,434.3125,MagSensitivityY
36,35,6209,388.0625,MagSensitivityZ
37,36,723,2.824219,MagBiasX
38,37,64916,-2.421875,MagBiasY
39,38,1012,3.953125,MagBiasZ
40,39,147,0.07177734,MagHardIronBiasX
41,40,340,0.1660156,MagHardIronBiasY
42,41,65423,-0.05517578,MagHardIronBiasZ
43,42,2,2,AlgorithmMode
44,43,512,2,AlgorithmKp
45,44,0,0,AlgorithmKi
46,45,12800,200,AlgorithmInitKp
47,46,1280,5,AlgorithmInitPeriod
48,47,32767,0.9999695,TareQuat0
49,48,0,0,TareQuat1
50,49,0,0,TareQuat2
51,50,0,0,TareQuat3
52,51,1,1,SensorDataMode
53,52,1,1,DateTimeOutputRate
54,53,3,3,BattThermOutputRate
55,54,9,9,InertialMagOutputRate
56,55,9,9,QuatOutputRate
57,56,74,74,SDcardNewFileName
58,57,14336,3.5,BattShutdownVoltage
59,58,0,0,SleepTimer
60,59,0,0,MotionTrigWakeUp
61,60,1,1,BluetoothPower
62,61,0,0,AuxiliaryPortMode
63,62,4,4,DigitalIOdirection
64,63,0,0,DigitalIOoutputRate
65,64,409,0.199707,AlgorithmMinValidMag
66,65,1433,0.699707,AlgorithmMaxValidMag
